Typ wiadomoœci: L-podanie trajektori dla nastêpnika, R-potwierdzenie znajdowania siê na trajektorii przez nastêpnika, S - sygna³ odjazdu;ID auta;Moment Symulacji w sec;Przed wjazdem na skrzy¿owanie/ Po ruszeniu;Czas trwania nadawania sygna³u odjazdu (S)
L;13;15.332130025021;before;
L;25;15.470403036037;before;
L;19;15.470403050042;before;
R;37;18.002194075063;before;
L;19;18.246898100084;before;
R;19;19.001982100084;before;
L;31;19.669979113537;before;
L;37;19.669979125105;before;
R;37;20.001484125105;before;
L;19;20.315907150126;before;
L;61;21.414189025021;before;
L;49;21.650274050042;before;
R;37;22.001822175147;before;
L;19;22.259071200168;before;
R;73;24.001469050042;before;
R;37;24.003200225189;before;
L;61;24.278699075063;before;
L;19;24.51992925021;before;
R;61;25.001283075063;before;
R;85;25.001283075063;before;
R;73;25.002185100084;before;
L;73;25.385165100084;before;
R;37;26.001978275231;before;
L;19;26.158594300252;before;
L;73;26.690669100084;before;
R;85;27.001309125105;before;
R;73;27.001639150126;before;
R;103;27.001639150126;before;
R;97;27.002052300252;before;
R;37;27.003201325273;before;
L;85;27.518693175147;before;
R;85;28.001583175147;before;
L;37;28.111352325273;before;
L;73;28.207937200168;before;
L;103;28.207937200168;before;
R;85;29.001618225189;before;
R;97;29.001688350294;before;
R;73;29.00192225021;before;
R;103;29.00192225021;before;
R;97;29.00271535038;before;
R;37;29.003123375401;before;
R;109;29.003123375401;before;
L;85;29.441977275231;before;
R;115;30.003049275231;before;
L;103;30.182571300252;before;
R;37;31.001675425443;before;
R;109;31.001675425443;before;
R;97;31.002148450464;before;
R;73;31.002208300252;before;
R;103;31.002208300252;before;
R;85;31.002616325273;before;
R;97;31.003136450464;before;
R;121;31.003136450464;before;
L;109;31.237908475485;before;
L;85;31.573485325273;before;
R;109;32.002729475485;before;
R;115;32.003114325273;before;
L;121;32.118512500506;before;
L;115;32.549440025021;before;
L;103;32.559429050042;before;
L;127;32.559429050042;before;
R;97;33.001675500506;before;
R;37;33.001966525527;before;
R;109;33.001966525527;before;
R;73;33.002156350294;before;
R;103;33.002156350294;before;
R;97;33.003141550548;before;
R;121;33.003141550548;before;
R;85;33.003162375315;before;
L;109;33.395603575569;before;
L;133;33.395603575569;before;
L;121;33.52957360059;before;
L;85;33.627565375315;before;
L;115;33.627565375315;before;
R;133;34.001400625611;before;
R;121;34.002055650632;before;
L;115;34.281341075063;before;
R;37;35.001740575569;before;
R;109;35.001740575569;before;
R;73;35.001753400336;before;
R;103;35.001753400336;before;
R;85;35.002044425357;before;
R;145;35.002196075063;before;
L;133;35.257509680224;before;
L;121;35.281200705245;before;
L;169;35.281200705245;before;
L;127;35.392994100084;before;
L;85;35.455406425357;before;
L;115;35.455406425357;before;
R;127;36.001789100084;before;
R;163;36.001789100084;before;
R;145;36.002314125105;before;
R;121;36.002541755287;before;
R;169;36.002541755287;before;
L;115;36.509080125105;before;
L;145;36.509080125105;before;
R;97;37.00170460059;before;
R;85;37.002156475399;before;
R;37;37.002424625611;before;
R;109;37.002424625611;before;
R;73;37.00247350042;before;
R;103;37.00247350042;before;
R;97;37.002949650632;before;
L;145;37.158721125105;before;
L;121;37.374579755287;before;
L;169;37.374579755287;before;
L;169;37.473244759651;before;
L;133;37.671369784672;before;
L;175;37.671369784672;before;
L;85;37.672472525441;before;
L;115;37.672472525441;before;
R;121;38.001301809693;before;
R;133;38.001748834714;before;
R;145;38.001750125105;before;
R;163;38.002405150126;before;
R;133;38.002775834714;before;
R;175;38.002775834714;before;
L;157;38.232938027165;before;
L;13;38.23293802753;before;
L;49;38.23293802931;before;
R;97;39.001335650632;before;
R;73;39.001706550462;before;
R;103;39.001706550462;before;
R;37;39.002133675653;before;
R;109;39.002133675653;before;
R;85;39.002712575483;before;
R;97;39.003113700674;before;
L;85;39.309356575483;before;
L;115;39.309356575483;before;
L;175;39.329300834714;before;
L;169;39.681618859735;before;
L;145;39.691539175147;before;
R;175;40.001384884756;before;
R;169;40.002468909777;before;
R;193;40.002468909777;before;
R;199;40.002660175147;before;
R;121;40.003226750716;before;
R;169;40.003226750716;before;
L;175;40.275915934798;before;
L;163;40.503386200168;before;
R;181;41.001654049888;before;
R;97;41.002006700674;before;
R;73;41.002304600504;before;
R;103;41.002304600504;before;
R;163;41.002331200168;before;
R;37;41.002479725695;before;
R;109;41.002479725695;before;
R;175;41.002594934798;before;
R;85;41.002595625525;before;
R;157;41.002770738722;before;
R;97;41.002770750716;before;
L;193;41.305252959819;before;
L;151;41.483660074909;before;
L;145;41.506502225189;before;
L;199;41.506502225189;before;
L;85;41.667064625525;before;
L;115;41.667064625525;before;
R;133;42.00169398484;before;
R;175;42.00169398484;before;
R;133;42.002007775737;before;
R;151;42.002066074909;before;
R;145;42.002158225189;before;
R;199;42.002158225189;before;
R;157;42.002623792514;before;
R;121;42.002623800758;before;
R;169;42.002623800758;before;
R;163;42.00285225021;before;
R;169;42.002895009861;before;
R;193;42.002895009861;before;
L;181;42.15476909993;before;
L;175;42.423710034882;before;
L;223;42.423710034882;before;
L;163;42.47421925021;before;
L;193;42.632599059903;before;
S;151;43.000242125655;before;0.000242125655
R;97;43.001247750716;before;
R;37;43.001590775737;before;
R;109;43.001590775737;before;
R;223;43.001635084924;before;
R;97;43.001894800758;before;
R;139;43.002600151883;after;
R;193;43.003096109945;before;
R;73;43.003175650546;before;
R;103;43.003175650546;before;
R;85;43.003505675567;before;
L;85;43.498558675567;before;
L;115;43.498558675567;before;
S;181;44.000238150676;before;0.000238150676
R;133;44.001456825779;before;
R;121;44.0024108508;before;
R;169;44.0024108508;before;
R;163;44.002418300252;before;
R;133;44.002727875821;before;
R;175;44.002727875821;before;
R;151;44.002934175697;after;
R;145;44.003112325273;before;
R;199;44.003112325273;before;
R;169;44.003122900842;before;
L;163;44.131739350294;before;
L;223;44.457970136421;before;
L;157;44.661737159415;before;
L;193;44.661737161442;before;
L;229;44.661737161442;before;
S;151;45.000234175697;after;0.000234175697
S;205;45.000234175697;before;0.000234175697
R;37;45.001299825779;before;
R;109;45.001299825779;before;
R;181;45.001461200718;after;
R;97;45.0017988508;before;
R;85;45.001875725609;before;
R;223;45.002303186463;before;
R;223;45.002576186463;before;
R;73;45.00267375063;before;
R;103;45.00267375063;before;
R;187;45.002708838967;before;
R;97;45.0027088508;before;
R;193;45.002880211484;before;
R;229;45.002880211484;before;
R;157;45.002880214535;before;
L;181;45.151377200718;after;
L;85;45.437190775651;before;
L;115;45.437190775651;before;
S;61;46.00023672638;before;0.00023672638
S;103;46.000238801097;before;0.000238801097
S;19;46.000240801525;before;0.000240801525
R;145;46.001747375498;before;
R;175;46.001968926046;before;
R;133;46.00196892612;before;
R;49;46.001970752172;after;
R;163;46.002038400702;before;
R;127;46.002038400776;before;
R;115;46.002154826543;after;
R;133;46.00224487616;before;
R;139;46.002403812783;after;
R;13;46.002403827313;after;
R;187;46.002535892692;before;
R;121;46.00253590152;before;
S;37;47.000236827999;before;0.000236827999
S;73;47.000245752833;before;0.000245752833
R;181;47.00162525076;before;
R;13;47.001625252226;after;
R;49;47.001625257487;after;
R;223;47.001652976964;before;
R;73;47.00183385301;before;
R;223;47.002116237219;before;
R;97;47.002144902542;before;
R;109;47.002448928838;before;
R;37;47.002448928916;before;
R;85;47.002683879389;before;
R;61;47.002683879463;after;
R;229;47.002927262917;before;
R;193;47.002927262998;before;
R;139;47.003090949707;after;
R;97;47.00309095529;before;
R;19;47.00309095539;after;
L;151;47.396609275781;before;
L;205;47.396609275781;before;
L;181;47.421522300802;before;
S;19;48.000234956084;after;0.000234956084
S;163;48.000239453126;before;0.000239453126
S;61;48.000243878482;after;0.000243878482
R;133;48.001368929321;before;
R;85;48.001369878773;before;
R;205;48.001418325823;before;
R;37;48.001578983252;after;
R;145;48.00166147945;after;
R;181;48.001709350844;before;
R;169;48.001763956132;before;
R;121;48.001763956197;before;
R;175;48.002054982809;before;
R;133;48.002054982943;before;
R;49;48.002094903205;after;
R;73;48.002094903954;after;
R;169;48.003100009486;before;
L;217;48.461574025021;before;
L;49;48.46157402931;after;
L;211;48.615239050042;before;
S;199;49.000235478438;before;0.000235478438
S;109;49.00023898382;before;0.00023898382
S;37;49.00023898397;after;0.00023898397
S;73;49.000242903794;after;0.000242903794
S;103;49.000242903794;before;0.000242903794
R;97;49.001648011574;after;
R;163;49.00177450375;after;
R;97;49.001895011874;after;
R;223;49.002103036643;before;
R;145;49.002128478072;after;
R;49;49.002826353353;before;
R;19;49.002826357357;after;
R;85;49.002860928815;after;
R;229;49.003070063819;before;
R;193;49.003070063883;before;
R;223;49.003400090995;before;
L;85;49.290160928815;after;
L;115;49.290160928815;after;
L;181;49.314649350844;before;
L;13;49.314649358254;after;
S;121;50.000235011549;before;0.000235011549
S;85;50.000238928815;before;0.000238928815
S;115;50.000238928815;before;0.000238928815
S;163;50.000244503459;after;0.000244503459
R;169;50.001343010642;before;
R;121;50.001343010688;before;
R;145;50.00144552848;after;
R;199;50.00144552848;after;
R;217;50.001868383139;before;
R;175;50.002349038339;before;
R;109;50.002375038417;after;
R;169;50.002679066036;before;
R;181;50.002705350844;before;
R;205;50.003009375865;before;
R;13;50.003009377829;after;
R;127;50.003036553501;before;
R;163;50.003036553501;after;
R;49;50.003124953333;before;
R;73;50.003124953836;before;
L;115;50.391221578522;before;
L;145;50.391221578522;after;
L;103;50.410635603543;after;
L;127;50.410635603543;before;
L;73;50.436107953836;before;
L;103;50.436107953836;after;
L;61;50.494625978857;before;
L;85;50.494625978857;before;
L;211;50.53558840816;before;
L;19;50.535588408921;after;
S;109;51.000234038211;after;0.000234038211
R;103;51.001516603543;before;
R;127;51.001516603543;before;
R;223;51.001965146361;before;
R;193;51.002256173979;before;
R;229;51.002256174027;before;
R;73;51.002268003878;before;
R;103;51.002268003878;before;
R;85;51.002559028899;before;
R;223;51.002586201597;before;
R;37;51.002644413442;after;
R;115;51.002691628564;before;
R;121;51.002852065734;after;
R;211;51.002974424626;before;
R;217;51.002974443745;before;
R;61;51.002974444056;before;
R;151;51.003169088365;before;
R;109;51.003169091979;after;
L;85;51.106052028899;before;
L;115;51.106052028899;before;
L;181;51.653624400886;before;
S;169;52.000238066208;before;0.000238066208
S;121;52.000238066273;after;0.000238066273
R;145;52.001752578522;before;
R;199;52.001752578522;before;
R;169;52.001771229452;before;
R;127;52.002069603543;before;
R;163;52.002069603543;before;
R;133;52.002141094295;after;
R;205;52.002146425907;before;
R;85;52.002680028899;before;
R;181;52.002996450928;before;
R;175;52.003076257333;before;
R;133;52.003076257409;after;
L;163;52.176620603543;before;
L;73;52.25097205392;before;
L;103;52.25097205392;before;
L;115;52.310239628564;before;
L;145;52.310239628564;before;
L;241;52.415728468766;before;
R;241;53.001331468766;before;
R;205;53.001526447272;before;
R;193;53.002030229496;before;
R;229;53.002030229576;before;
R;241;53.002059471277;before;
R;73;53.00223405392;before;
R;175;53.002581257293;before;
R;61;53.002785078941;before;
R;85;53.002785078941;before;
R;181;53.002956145177;before;
R;109;53.002956145963;after;
R;49;53.002956147686;before;
R;97;53.002956152369;after;
R;103;53.003170653585;before;
R;127;53.003170653585;before;
R;115;53.003474678606;before;
L;97;53.630510469632;after;
L;181;53.630510472293;before;
L;37;53.655145488023;after;
L;217;53.655145496298;before;
L;253;53.655145499353;before;
S;169;54.00024528501;after;0.00024528501
R;217;54.001379496298;before;
R;253;54.001379496298;before;
R;241;54.001709521319;before;
R;133;54.001719312559;after;
R;175;54.001719312727;after;
R;127;54.001749703627;before;
R;163;54.001749703627;before;
R;181;54.001899472293;before;
R;169;54.002023340108;after;
R;61;54.002522366884;before;
R;133;54.002522367679;after;
R;151;54.002697497314;before;
R;205;54.002697497314;before;
R;145;54.003132728648;before;
R;199;54.003132728648;before;
L;211;54.342127521319;before;
L;241;54.342127521319;before;
L;163;54.369269753669;before;
L;115;54.445275728648;before;
L;145;54.445275728648;before;
S;223;55.00023631289;before;0.00023631289
R;109;55.00189170161;after;
R;73;55.001891703627;before;
R;193;55.00199634068;after;
R;229;55.00199634069;before;
R;223;55.00253436849;before;
R;199;55.00258277969;before;
R;103;55.00258571325;before;
R;85;55.002585724614;before;
