L-podanie trajektori dla nastêpnika, R-potwierdzenie znajdowania siê na trajektorii przez nastêpnika, S - sygna³ odjazdu;ID auta;Moment Symulacji w sec;Przed wjazdem na skrzy¿owanie/ Po ruszeniu;Czas trwania nadawania sygna³u odjazdu (S)
L;19;17.177599025021;before;
L;13;17.177599027202;before;
L;19;17.226471037876;before;
L;31;17.226471054404;before;
L;13;17.31513604855;before;
L;31;17.315136062897;before;
L;31;19.321475117301;before;
L;19;19.497760142322;before;
L;13;19.497760144503;before;
L;31;21.156609171705;before;
L;19;21.652928196726;before;
L;13;21.652928198907;before;
L;31;23.443584226109;before;
L;19;23.48359025113;before;
L;13;23.483590253311;before;
R;67;24.002691057816;before;
L;49;24.49604606849;before;
L;79;24.496046083551;before;
L;61;24.496046085018;before;
L;13;25.155660253311;before;
L;19;25.279204263985;before;
L;31;25.279204280513;before;
L;61;25.312672094225;before;
L;79;25.442222104899;before;
L;49;25.442222119246;before;
L;67;25.442222121427;before;
R;61;26.001565115573;before;
R;67;26.00156512992;before;
R;79;26.002974126247;before;
R;49;26.002974140594;before;
R;67;26.002974142775;before;
R;97;26.002974143828;before;
L;49;26.122774153449;before;
L;79;26.122774167796;before;
L;61;26.122774169977;before;
L;31;27.132845334917;before;
L;61;27.20792817847;before;
L;79;27.220231189144;before;
L;49;27.220231203491;before;
L;67;27.220231205672;before;
L;97;27.220231205672;before;
L;103;27.303631345591;before;
L;19;27.303631359938;before;
L;13;27.303631362119;before;
R;103;28.001866345591;before;
R;61;28.002030199818;before;
R;97;28.002030214165;before;
R;79;28.002347210492;before;
R;49;28.002347224839;before;
R;67;28.00234722702;before;
R;97;28.00234722702;before;
L;31;28.226147356265;before;
L;13;28.226147370612;before;
L;19;28.226147372793;before;
L;109;28.227668240091;before;
L;79;28.227668252041;before;
L;61;28.227668254222;before;
R;31;29.001238356265;before;
R;13;29.001238370612;before;
R;79;29.002499252041;before;
R;61;29.002499254222;before;
L;103;29.295043366939;before;
L;19;29.295043381286;before;
L;115;29.295043381286;before;
L;13;29.295043383467;before;
L;61;29.412069262715;before;
L;97;29.412069277062;before;
L;109;29.412069279246;before;
L;19;29.453232394141;before;
L;103;29.453232408488;before;
L;31;29.453232410669;before;
L;79;29.598871273389;before;
L;49;29.598871287736;before;
L;109;29.598871287739;before;
L;67;29.598871289917;before;
L;97;29.598871289917;before;
R;61;30.001304284063;before;
R;97;30.00130429841;before;
R;109;30.001304300591;before;
R;103;30.002682421343;before;
R;115;30.00268243569;before;
R;79;30.003116294737;before;
R;49;30.003116309084;before;
R;109;30.003116309084;before;
R;67;30.003116311265;before;
R;97;30.003116311265;before;
L;31;30.155801460711;before;
L;103;30.155801462892;before;
L;31;30.548432473566;before;
L;13;30.548432487913;before;
L;19;30.548432490094;before;
L;115;30.548432490094;before;
L;97;30.549433319758;before;
L;61;30.549433334105;before;
L;79;30.549433336286;before;
L;109;30.559435330432;before;
L;79;30.559435344779;before;
L;61;30.55943534696;before;
L;127;30.559435347076;before;
R;97;31.001245341106;before;
R;61;31.001245355453;before;
R;127;31.001245355453;before;
R;115;31.001781485732;before;
R;109;31.001978380474;before;
R;97;31.001978382655;before;
R;31;31.002228473566;before;
R;115;31.002228490094;before;
R;31;31.002519515115;before;
R;121;31.002519515115;before;
R;103;31.002519517296;before;
R;109;31.002750393329;before;
R;79;31.002750407676;before;
R;61;31.002750409857;before;
R;127;31.002750409857;before;
L;79;31.387256420531;before;
L;109;31.387256434878;before;
L;97;31.387256437059;before;
L;103;31.691264525789;before;
L;19;31.691264540136;before;
L;115;31.691264540136;before;
L;13;31.691264542317;before;
R;103;32.001800525789;before;
R;61;32.002005431205;before;
R;97;32.002005445552;before;
R;79;32.002322441879;before;
R;49;32.002322456226;before;
R;109;32.002322456226;before;
R;67;32.002322458407;before;
R;97;32.002322458407;before;
L;127;32.15206740573;before;
L;31;32.208934536463;before;
L;13;32.20893455081;before;
L;19;32.208934552991;before;
L;115;32.208934552991;before;
L;115;32.405848540136;before;
L;109;32.573363430751;before;
L;139;32.573363430751;before;
L;97;32.573363432932;before;
L;109;32.596365443606;before;
L;79;32.596365457953;before;
L;61;32.596365460134;before;
L;127;32.596365460134;before;
R;115;33.002095552991;before;
R;109;33.002399485155;before;
R;139;33.002399485155;before;
R;97;33.002399487336;before;
R;31;33.002399578012;before;
R;121;33.002399578012;before;
R;103;33.002399580193;before;
R;145;33.002690510176;before;
R;97;33.002716495829;before;
R;115;33.002716603033;before;
R;133;33.002716603033;before;
R;109;33.003046506503;before;
R;79;33.00304652085;before;
R;61;33.003046523031;before;
R;127;33.003046523031;before;
L;121;33.296872628054;before;
L;139;33.554311535197;before;
R;61;34.001425531524;before;
R;97;34.001425545871;before;
R;103;34.001441588686;before;
R;121;34.001698628054;before;
R;139;34.002465535197;before;
R;79;34.002977542198;before;
R;49;34.002977556545;before;
R;109;34.002977556545;before;
R;67;34.002977558726;before;
R;97;34.002977558726;before;
L;31;34.13381259936;before;
L;13;34.133812613707;before;
L;19;34.133812615888;before;
L;115;34.133812615888;before;
L;109;34.152160548052;before;
L;139;34.152160548052;before;
L;97;34.152160550233;before;
L;127;34.242541573073;before;
L;145;34.242541573073;before;
L;115;34.296257653075;before;
L;133;34.296257653075;before;
L;109;34.372736560907;before;
L;79;34.372736575254;before;
L;61;34.372736577435;before;
L;127;34.372736577435;before;
R;127;35.001486573073;before;
R;145;35.001486573073;before;
R;115;35.001996615888;before;
R;31;35.002638640909;before;
R;121;35.002638640909;before;
R;103;35.00263864309;before;
R;109;35.003038598094;before;
R;139;35.003038598094;before;
R;97;35.003038600275;before;
R;115;35.00304666593;before;
R;133;35.00304666593;before;
R;97;35.003342608768;before;
R;127;35.003342623115;before;
R;109;35.003633619442;before;
R;79;35.003633633789;before;
R;61;35.00363363597;before;
R;127;35.00363363597;before;
