L-podanie trajektori dla nastêpnika, R-potwierdzenie znajdowania siê na trajektorii przez nastêpnika, S - sygna³ odjazdu;ID auta;Moment Symulacji w sec;Przed wjazdem na skrzy¿owanie/ Po ruszeniu. Ciê¿ko odró¿niæ przy dwóch skrzy¿owaniach;Czas trwania nadawania sygna³u odjazdu (S)
L;19;16.159802025021;before;
L;25;16.518815050042;before;
R;37;19.002480075063;before;
L;25;19.195626100084;before;
R;25;20.002593100084;before;
R;55;20.002593100084;before;
R;37;20.003183125105;before;
L;37;20.603003125105;before;
L;37;21.628526125105;before;
R;37;22.001410125105;before;
R;55;22.003079150126;before;
L;37;23.199201175147;before;
R;55;24.002034200168;before;
R;37;24.003027225189;before;
R;91;24.003027225189;before;
L;55;24.44358925021;before;
R;55;25.00262025021;before;
L;37;25.679483275231;before;
L;91;25.679483275231;before;
R;55;26.001810300252;before;
R;37;26.002127325273;before;
R;91;26.002127325273;before;
L;103;26.274289025021;before;
L;55;26.471042350294;before;
L;49;26.549738050042;before;
R;55;28.002260350294;before;
R;37;28.002564375315;before;
R;91;28.002564375315;before;
L;55;28.200351400336;before;
R;121;29.001923400336;before;
L;91;29.132838425357;before;
L;49;29.412858060668;before;
R;55;30.001774400336;before;
R;37;30.002468425357;before;
R;91;30.002468425357;before;
R;91;30.002972425357;before;
L;49;30.421613050042;before;
L;55;30.507689450378;before;
L;121;30.507689450378;before;
R;121;31.003007450378;before;
L;91;31.686084475399;before;
R;55;32.001704450378;before;
R;37;32.002762475399;before;
R;91;32.002762475399;before;
R;121;33.00170050042;before;
L;91;33.628422525441;before;
R;151;34.001501525441;before;
R;37;34.002276525441;before;
R;91;34.002276525441;before;
R;55;34.002593550462;before;
L;121;34.205190550462;before;
R;121;35.001445550462;before;
R;169;35.001445550462;before;
R;121;35.001825550462;before;
L;151;35.138067575483;before;
L;91;35.244735575483;before;
L;151;35.244735575483;before;
L;19;35.50660102931;before;
R;151;36.001259575483;before;
R;151;36.002471575483;before;
R;55;36.002926600504;before;
R;37;36.003230625525;before;
R;91;36.003230625525;before;
L;121;36.564232600504;before;
L;169;36.564232600504;before;
R;169;37.001401600504;before;
R;121;37.001960650546;before;
L;133;37.281339024518;before;
L;157;37.339935049036;before;
L;19;37.339935053828;before;
L;151;37.344580625525;before;
L;175;37.344580625525;before;
L;169;37.565377650546;before;
R;169;38.002000650546;before;
R;37;38.002120675567;before;
R;175;38.002291675567;before;
R;55;38.002606700588;before;
R;91;38.002939675567;before;
R;151;38.002939675567;before;
R;181;39.001593050042;before;
R;121;39.003164700588;before;
L;169;39.121453700588;before;
L;103;39.570426075063;before;
R;175;40.001896725609;before;
R;37;40.002622725609;before;
R;151;40.002635725609;before;
R;169;40.00266875063;before;
R;103;40.002759075063;before;
R;55;40.00304375063;before;
L;181;40.384171100084;before;
R;181;41.002131100084;before;
L;169;41.11003975063;before;
L;103;41.419345125105;before;
R;205;42.001334125105;before;
R;55;42.001465800672;before;
R;181;42.001859150126;before;
R;175;42.001987775651;before;
R;37;42.002471825693;before;
R;187;42.003190074057;before;
R;169;42.003214800672;before;
L;157;42.345667099078;before;
R;157;43.001483099108;before;
R;91;43.003494875735;before;
R;151;43.003494875735;before;
L;169;43.278168800672;before;
L;43;43.329296080481;before;
L;187;43.638475124159;before;
L;73;43.691533105502;before;
L;181;43.695452150126;before;
S;157;44.000244143913;before;0.000244143913
S;67;44.000244148899;before;0.000244148899
R;175;44.001376825693;before;
R;37;44.001504875735;before;
R;55;44.001808900756;before;
R;205;44.001828175147;before;
R;205;44.00207517775;before;
R;91;44.002146875735;before;
R;151;44.002146875735;before;
R;181;44.002379202771;before;
R;217;44.002379202771;before;
R;169;44.002460850714;before;
R;223;44.002460850714;before;
R;43;44.002654130523;before;
R;133;44.002654166383;after;
R;187;44.002654168934;before;
R;73;44.003179155544;before;
L;187;44.191651125143;before;
L;157;44.503383150164;before;
L;193;44.503383150164;before;
L;175;44.517889875735;before;
L;199;44.696880159811;before;
L;133;44.696880176355;after;
S;187;45.000235175185;before;0.000235175185
R;187;45.001288175185;before;
R;157;45.001579200206;after;
R;193;45.001579200206;before;
R;175;45.001923875735;before;
R;235;45.001923875735;before;
R;121;45.002241900756;before;
R;223;45.003046900756;before;
L;169;45.343802900756;before;
L;223;45.343802900756;before;
S;43;46.000244181333;before;0.000244181333
S;157;46.000244200206;after;0.000244200206
S;193;46.000244200206;before;0.000244200206
R;169;46.001477900938;before;
R;43;46.002004181255;before;
R;37;46.00224592624;before;
R;175;46.002327926141;before;
R;187;46.002329225227;after;
R;73;46.002477206966;before;
R;13;46.002477207044;after;
R;217;46.002894253326;before;
R;181;46.002894253412;before;
R;25;46.00297895167;before;
R;55;46.002978951724;before;
R;151;46.003077926108;before;
R;91;46.003077926181;before;
R;103;46.003224279121;before;
L;187;46.508653225227;after;
S;187;47.000240225227;after;0.000240225227
R;223;47.001970901163;before;
R;193;47.002273250248;after;
R;235;47.002300926591;before;
R;121;47.003016951657;before;
S;43;48.000236235006;after;0.000236235006
S;205;48.000242332671;before;0.000242332671
S;55;48.000244004097;before;0.000244004097
R;217;48.001456359673;before;
R;181;48.001456359765;after;
R;187;48.001601275269;before;
R;169;48.00210995271;before;
R;73;48.002282262276;after;
R;205;48.002423386675;before;
R;37;48.002979030638;after;
R;175;48.003154978824;before;
R;151;48.003154978917;before;
L;157;48.17063230029;before;
L;193;48.17063230029;before;
L;67;48.170632306692;after;
L;187;48.295307325311;before;
L;13;48.450277011644;after;
S;91;49.000240031336;before;0.000240031336
R;223;49.001458953286;before;
R;187;49.001888325311;before;
R;67;49.00188833278;after;
